"Logfile name","Network Type","Average Packet Inter-Arrival Time","Packet Inter-Arrival Greater than 0.5s","Device Radio State when Packet Inter-Arrival Time is Greater than 5s","DNS Query No.","DNS Query Name","DNS Query Response Time (s)","TCP Flow No.","TCP Device IP Address","TCP Device TCP Port","TCP Server IP Address","TCP Server TCP Port","TCP Server Possible DNS Names","TCP Flow Average Packet Inter-Arrival Time","TCP Flow Connection Setup Time (s)","TCP Flow # of Retransmissions from Device to Server","TCP Flow # of Retransmissions Bytes from Device to Server","TCP Flow # of Retransmissions from Server to Device","TCP Flow # of Retransmissions Bytes from Server to Device"
"Facebook_20140203_22-36-05","WiFi",0.0850745,0.0546339,"CONNECTED",0,"graph.facebook.com",0.0155659,0,35.2.198.26,45516,31.13.74.80,443,,1.57643,0.00811815,0,0,0,0
,,,,,1,"graph.facebook.com",0.00802684,1,35.2.198.26,45517,31.13.74.80,443,,0.440501,0.00882006,0,0,0,0
,,,,,2,"www.yahoo.com",0.00894284,2,35.2.198.26,47953,98.139.180.149,80,,0.0168932,0.055975,0,0,0,0
,,,,,3,"www.yahoo.com",0.00528002,3,35.2.198.26,35811,54.230.89.192,80,,0.00123935,0.023195,0,0,0,0
,,,,,4,"www.yahoo.com",0.00308299,4,35.2.198.26,45518,31.13.74.80,443,,3.26204,0.00891209,0,0,2,1534
,,,,,5,"www.yahoo.com",0.0036931,5,35.2.198.26,50025,23.63.226.178,443,,2.69536,0.0106211,1,422,0,0
,,,,,6,"d2uzsrnmmf6tds.cloudfront.net",0.00650096,6,35.2.198.26,53924,192.122.184.154,443,,3.73631,0.00390577,0,0,0,0
,,,,,7,"d2uzsrnmmf6tds.cloudfront.net",0.00463891,7,35.2.198.26,53925,192.122.184.154,443,,4.84125,0.00418115,0,0,0,0
,,,,,8,"d2uzsrnmmf6tds.cloudfront.net",0.002105,8,35.2.198.26,45522,31.13.74.80,443,,5.72672,0.00842404,0,0,1,47
,,,,,9,"d2uzsrnmmf6tds.cloudfront.net",0.00225902,9,35.2.198.26,48631,173.252.103.16,443,,1.63245,0.0348849,0,0,0,0
,,,,,10,"api-read.facebook.com",0.0134289,10,35.2.198.26,56459,74.125.193.95,443,,12.7945,0.0210891,0,0,0,0
,,,,,11,"fbcdn-profile-a.akamaihd.net",0.00799584,11,35.2.198.26,50635,69.171.247.27,443,,1.3056,0.13142,0,0,0,0
,,,,,12,"fbstatic-a.akamaihd.net",0.004426,12,35.2.198.26,45526,31.13.74.80,443,,8.04465,0.010957,0,0,0,0
,,,,,13,"api.facebook.com",0.003021,13,35.2.198.26,45527,31.13.74.80,443,,2.53844,0.0123911,0,0,0,0
,,,,,14,"www.google.com",0.0276821,14,35.2.198.26,47421,23.63.226.83,443,,2.09747,0.00912499,0,0,6,8688
,,,,,15,"www.google.com",0.032779,15,35.2.198.26,51953,31.13.74.7,443,,1.97664,0.0101938,0,0,0,0
,,,,,16,"play.googleapis.com",0.0116279,16,35.2.198.26,51363,74.125.225.141,80,,0.0226866,0.010376,0,0,0,0
,,,,,17,"www.google.com",0.0365629,17,35.2.198.26,39936,74.125.225.112,80,,0.0774788,0.010103,0,0,1,339
,,,,,18,"www.google.com",0.125928,18,35.2.198.26,41312,74.125.225.114,80,,0.0046569,0.0216079,0,0,0,0
,,,,,19,"b-api.facebook.com",0.084938,19,35.2.198.26,39937,74.125.225.112,80,,0.0770173,0.0933011,0,0,2,34
,,,,,20,"www.google.com",0.041966,20,35.2.198.26,57446,192.122.184.155,443,,5.08392,0.006531,0,0,0,0
,,,,,21,"www.google.com",0.0281999,21,35.2.198.26,49153,23.63.226.153,443,,0.94899,0.00912595,0,0,0,0
,,,,,22,"api.facebook.com",0.0513041,,,,,,,,,,,,
,,,,,23,"api-read.facebook.com",0.0105901,,,,,,,,,,,,
,,,,,24,"www.google.com",0.027468,,,,,,,,,,,,
,,,,,25,"www.google.com",0.025363,,,,,,,,,,,,
,,,,,26,"fbcdn-sphotos-g-a.akamaihd.net",0.088784,,,,,,,,,,,,
,,,,,27,"scontent-a-ord.xx.fbcdn.net",0.034122,,,,,,,,,,,,
,,,,,28,"www.google.com",0.0281088,,,,,,,,,,,,
,,,,,29,"www.google.com",0.0287189,,,,,,,,,,,,
,,,,,30,"www.googleadservices.com",0.116282,,,,,,,,,,,,
,,,,,31,"www.google.com",0.0296359,,,,,,,,,,,,
,,,,,32,"www.google.com",0.00228906,,,,,,,,,,,,
,,,,,33,"www.google.com",0.102366,,,,,,,,,,,,
,,,,,34,"www.google.com",0.06217,,,,,,,,,,,,
,,,,,35,"www.google.com",0.03809,,,,,,,,,,,,
,,,,,36,"fbexternal-a.akamaihd.net",0.109355,,,,,,,,,,,,
,,,,,37,"fbcdn-profile-a.akamaihd.net",0.030185,,,,,,,,,,,,
,,,,,38,"www.google.com",0.082618,,,,,,,,,,,,
,,,,,39,"www.google.com",0.087868,,,,,,,,,,,,
,,,,,40,"www.google.com",0.0299098,,,,,,,,,,,,
,,,,,41,"www.google.com",0.035526,,,,,,,,,,,,
,,,,,42,"www.google.com",0.0272241,,,,,,,,,,,,
,,,,,43,"www.google.com",0.0291469,,,,,,,,,,,,
,,,,,44,"www.google.com",0.106577,,,,,,,,,,,,
,,,,,45,"www.google.com",0.121776,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
